ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/398949,63,39.0,40.0
http://calenda.org/399710,63,19.0,21.0
http://calenda.org/399979,63,28.0,31.0
http://calenda.org/400635,63,21.0,24.0
http://calenda.org/400941,63,23.0,30.0
http://calenda.org/402172,63,30.0,36.0
http://calenda.org/389332,62,31.0,33.0
http://calenda.org/391742,62,24.0,33.0
http://calenda.org/393066,62,30.0,39.0
http://calenda.org/398491,62,34.0,31.0
http://calenda.org/402085,62,44.0,43.0
http://calenda.org/305207,61,60.0,58.0
http://calenda.org/377423,61,47.0,51.0
http://calenda.org/388972,61,33.0,38.0
http://calenda.org/392238,61,26.0,32.0
http://calenda.org/393725,61,37.0,33.0
http://calenda.org/394121,61,38.0,38.0
http://calenda.org/394964,61,24.0,28.0
http://calenda.org/399767,61,33.0,36.0
http://calenda.org/400501,61,21.0,24.0
http://calenda.org/388471,60,26.0,23.0
http://calenda.org/390003,60,36.0,36.0
http://calenda.org/390819,60,42.0,46.0
http://calenda.org/391336,60,22.0,29.0
http://calenda.org/392574,60,38.0,37.0
http://calenda.org/393555,60,39.0,38.0
http://calenda.org/393873,60,17.0,25.0
http://calenda.org/398208,60,18.0,17.0
http://calenda.org/398679,60,34.0,33.0
http://calenda.org/399034,60,35.0,37.0
http://calenda.org/400855,60,29.0,33.0
http://calenda.org/355397,59,58.0,56.0
http://calenda.org/382159,59,53.0,51.0
http://calenda.org/386283,59,17.0,26.0
http://calenda.org/389084,59,29.0,31.0
http://calenda.org/393282,59,16.0,14.0
http://calenda.org/394280,59,36.0,37.0
http://calenda.org/397166,59,26.0,32.0
http://calenda.org/397215,59,25.0,29.0
http://calenda.org/397845,59,24.0,30.0
http://calenda.org/399236,59,37.0,41.0
http://calenda.org/401776,59,18.0,23.0
http://calenda.org/388614,58,28.0,26.0
http://calenda.org/389264,58,31.0,28.0
http://calenda.org/390336,58,36.0,30.0
http://calenda.org/399760,58,17.0,21.0
http://calenda.org/387817,57,20.0,26.0
http://calenda.org/388590,57,21.0,30.0
http://calenda.org/388819,57,35.0,32.0
http://calenda.org/391726,57,36.0,32.0
http://calenda.org/392305,57,44.0,44.0
http://calenda.org/392547,57,17.0,27.0
http://calenda.org/392657,57,36.0,40.0
http://calenda.org/392819,57,21.0,31.0
http://calenda.org/393675,57,39.0,41.0
http://calenda.org/397263,57,19.0,29.0
http://calenda.org/397512,57,26.0,31.0
http://calenda.org/399407,57,18.0,27.0
http://calenda.org/401495,57,24.0,32.0
http://calenda.org/321460,56,55.0,55.0
http://calenda.org/388863,56,31.0,26.0
http://calenda.org/390218,56,27.0,28.0
http://calenda.org/390603,56,17.0,22.0
http://calenda.org/390931,56,32.0,38.0
http://calenda.org/397487,56,42.0,46.0
http://calenda.org/253773,55,53.0,52.0
http://calenda.org/385712,55,23.0,28.0
http://calenda.org/385721,55,23.0,26.0
http://calenda.org/389072,55,36.0,36.0
http://calenda.org/391591,55,32.0,39.0
http://calenda.org/391879,55,22.0,24.0
http://calenda.org/392242,55,33.0,35.0
http://calenda.org/398282,55,37.0,40.0
http://calenda.org/399984,55,30.0,37.0
http://calenda.org/372727,54,54.0,54.0
http://calenda.org/381417,54,40.0,38.0
http://calenda.org/383671,54,48.0,47.0
http://calenda.org/387735,54,28.0,26.0
http://calenda.org/389038,54,24.0,27.0
http://calenda.org/389305,54,52.0,50.0
http://calenda.org/389407,54,25.0,25.0
http://calenda.org/389591,54,21.0,27.0
http://calenda.org/390466,54,31.0,35.0
http://calenda.org/392555,54,29.0,27.0
http://calenda.org/392744,54,33.0,26.0
http://calenda.org/394154,54,32.0,35.0
http://calenda.org/394160,54,33.0,31.0
http://calenda.org/398542,54,19.0,27.0
http://calenda.org/206283,53,20.0,31.0
http://calenda.org/387392,53,27.0,26.0
http://calenda.org/388759,53,23.0,27.0
http://calenda.org/389963,53,22.0,26.0
http://calenda.org/390285,53,26.0,28.0
http://calenda.org/390433,53,24.0,25.0
http://calenda.org/391356,53,30.0,27.0
http://calenda.org/392736,53,20.0,26.0
http://calenda.org/396735,53,17.0,21.0
http://calenda.org/401349,53,28.0,28.0
http://calenda.org/384997,52,34.0,39.0
http://calenda.org/388467,52,37.0,33.0
http://calenda.org/396998,52,38.0,41.0
http://calenda.org/397187,52,45.0,43.0
http://calenda.org/398263,52,19.0,25.0
http://calenda.org/398433,52,12.0,11.0
http://calenda.org/399241,52,27.0,29.0
http://calenda.org/399478,52,25.0,30.0
http://calenda.org/400097,52,22.0,31.0
http://calenda.org/400973,52,35.0,37.0
http://calenda.org/401059,52,44.0,42.0
http://calenda.org/401359,52,34.0,38.0
http://calenda.org/389286,51,32.0,32.0
http://calenda.org/389913,51,32.0,36.0
http://calenda.org/390191,51,14.0,16.0
http://calenda.org/398223,51,25.0,28.0
http://calenda.org/398330,51,29.0,30.0
http://calenda.org/398684,51,27.0,33.0
http://calenda.org/399370,51,22.0,22.0
http://calenda.org/400071,51,17.0,18.0
http://calenda.org/382225,50,20.0,16.0
http://calenda.org/387322,50,30.0,34.0
http://calenda.org/388536,50,21.0,24.0
http://calenda.org/389050,50,30.0,33.0
http://calenda.org/389216,50,27.0,27.0
http://calenda.org/389372,50,34.0,31.0
http://calenda.org/389379,50,18.0,17.0
http://calenda.org/389990,50,21.0,22.0
